"sentence_id","delta_attn","delta_attn_inc"
"S081",-0.00109558203868609,-0.000879208768172157
"S048",0.0030107824623602,0.00336720241907984
"S078",0.00510598755924119,0.00668155830598272
"S076",-0.00889717852367289,-0.00929056952574969
"S077",0.00366099069614423,0.00544513444971562
"S052",-0.000808859393235162,-0.00346092414634303
"S044",-0.015140266792419,-0.015595828673979
"S051",0.00132623748111405,0.00119127844338673
"S047",-0.00935556010986249,-0.00989608421084565
"S073",-0.0118541126044212,-0.0135221396377039
"S074",-0.000619330037010091,8.91749393845398e-05
"S050",-0.018474765044671,-0.0159500374091344
"S080",-0.00298720923926998,-0.00348385118187644
"S056",-0.0173969255152048,-0.0170368339646406
"S082",0.00507302793476216,0.00523200417738945
"S046",-0.0197301608120075,-0.020116114412551
"S075",-0.0165362340906927,-0.0193418964080518
"S066",-0.00360149566875645,-0.00292571084210413
"S067",0.0230262459410722,0.0269756073466338
"S063",0.00288605753380278,0.00188292744210772
"S065",0.00115626315997108,0.00380805212637081
"S069",0.00697402119920909,0.00880929596153135
"S068",0.000469281272993172,0.0032415247083688
"S071",0.00215852600514332,0.00206476775133724
"S072",0.00480098454480937,0.00543003983182588
"S070",0.00570891169103138,0.0068464231402523
"S173",-2.00606655171853e-05,-0.000656979325878271
"S178",0.00955617464411307,0.010103325585634
"S177",-0.00781373867790636,-0.00905832134971984
"S176",0.00924714099639268,0.0118426401290742
"S180",0.00378279475609866,0.00557525860025021
"S181",0.00957391520529471,0.0107878179802738
"S179",-0.000371627018739051,-0.00164604846055605
"S172",0.00206504992538969,0.00350248305866774
"S175",0.00662452896206478,0.0074342092139823
"S064",0.000299461307402771,0.00256434933534777
"S174",0.00573073047506067,0.00534244451225496
"S170",-0.00553360636584088,-0.00599671467025109
"S117",0.00861536359819914,0.0101565668381073
